id,creation_date,ref,marque,statuts,types,contrat,"type ticket",pseudo
503010,"2023-10-12 13:38:42",TTLMP200SP53VS,TITAN,"Une attestation de non réparation (ANR) a été validée. Elle est visible en pièce jointe à droite dans la rubrique MES DOCUMENTS .  Le client peut être remboursé par son vendeur.","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
503011,"2023-10-12 13:42:18",MLMP300SP40,"MAC ALLISTER","La prestation n'a pas pu aboutir",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
503061,"2023-10-12 15:02:45",HTRTPRO5350-4-1,HYUNDAI,"La station établit son devis pour réparer la machine",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","Ghizlane "
503087,"2023-10-12 17:10:55",HTRTPRO5350-4-1,HYUNDAI,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
503134,"2023-10-13 06:54:16",HTRT65,HYUNDAI,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Nadine
503262,"2023-10-13 13:42:44","BCU-0138 ECRU",BRICOMARCHE,"La station établit son devis pour réparer la machine",NULL,"BCM Better Choice","Prise en charge Hors Garantie","01 - Agent Technique SWAP"
503324,"2023-10-13 15:28:10",HG4000-A,HYUNDAI,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","SWAP PL"
503439,"2023-10-14 13:36:16",PPLMP167SP51,"PERFORMANCE POWER","Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.",Nadine
503557,"2023-10-15 09:16:53",RAC5175SPM,RACING,"La demande de pièces a été acceptée, vous recevrez votre colis sous les meilleurs délais à l'adresse indiquée.",NULL,"BUILDER / TCK","Demande de pièces dans le cadre de la garantie",Nadine
503672,"2023-10-16 06:58:43",HG2700-1,HYUNDAI,"La réparation s'est bien passée. Un certificat de diagnostic est disponible en pièce jointe à gauche. ","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
503673,"2023-10-16 07:01:30",HDBTD50-AC,HYUNDAI,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,"BUILDER / TCK","Prise en charge Hors Garantie","Ghizlane "
503677,"2023-10-16 07:20:39",HG1800i-A,HYUNDAI,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
503685,"2023-10-16 07:46:10",HG2201-PL-A,HYUNDAI,"Un admin a validé la demande de réparation, les pièces sont en cours de transport.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
503695,"2023-10-16 08:10:30",LH63,"NO NAME","Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie","SIPLEC - LITTAN","Demande de réparation en station.",Nadine
503709,"2023-10-16 08:33:47",TTBCP33-4,TITAN,"Panne non prise en charge dans le cadre de la garantie - Accepté","Réparation sous garantie",KINGFISHER,"Demande de réparation en station.","Ghizlane "
503716,"2023-10-16 08:54:28",ECSP51,ERBAUER,"La station établit son devis pour réparer la machine",NULL,KINGFISHER,"Prise en charge Hors Garantie","Ghizlane "
503957,"2023-10-16 19:44:08",FGHi3500,FEIDER,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.",Jan
504004,"2023-10-17 07:23:36",TT6MTP52,TITAN,"L'administrateur SWAP doit établir un devis pour le client",NULL,KINGFISHER,"Prise en charge Hors Garantie",Nadine
